gross_ceded,res_cat,entry_no,val_standard,val_rate,category,total,industrial,ordinary,credit,group
gross,01,0100001,"Standard Industrial, 3.5%, 44 and prior               ",3.5%,Life Insurance,147739,147739,NA,NA,NA
gross,01,0100002,"Standard Industrial, 4%, 41 and prior              ",4%,Life Insurance,165695232,165695232,NA,NA,NA
gross,01,0100003,"Sub-Standard Industrial, 3.5%, 41 and prior                   ",3.5%,Life Insurance,16303,16303,NA,NA,NA
gross,01,0100004,"Sub-Standard Industrial, 4%, 41 and prior, NB                      ",4%,Life Insurance,3382196,3382196,NA,NA,NA
gross,01,0100005,"AE, 3%, 08-47  ",3%,Life Insurance,39233205,NA,39233205,NA,NA
gross,01,0100006,"AE, 3.5%, 45 and prior      ",3.5%,Life Insurance,88604,NA,88604,NA,NA
gross,01,0100007,"AM(5), 2.25% ",2.25%,Life Insurance,4729568,NA,NA,NA,4729568
gross,01,0100008,"AM(5), 2.5 %",%,Life Insurance,223535,NA,218335,NA,5200
gross,01,0100009,"AM(5), 2.75%, 42-47      ",2.75%,Life Insurance,199417943,NA,199417943,NA,NA
gross,01,0100010,"AM(5), 3%, 45-47    ",3%,Life Insurance,36462,NA,36462,NA,NA
gross,01,0100011,"41 STD IND, 2.5%, 48-65          ",2.5%,Life Insurance,4054687,4054687,NA,NA,NA
gross,01,0100012,"41 STD IND, 2.5%, CRVM, 48-65                 ",2.5%,Life Insurance,39171,39171,NA,NA,NA
gross,01,0100013,"41 STD IND, 2.75%, 42-47           ",2.75%,Life Insurance,302111,302111,NA,NA,NA
gross,01,0100014,"41 STD IND, 3%, 45-47         ",3%,Life Insurance,98737,98737,NA,NA,NA
gross,01,0100015,"41 STD IND, 3.5%, 46-64          ",3.5%,Life Insurance,709062928,709062928,NA,NA,NA
gross,01,0100016,"41 STD IND, 4%, 42-45         ",4%,Life Insurance,182773012,182773012,NA,NA,NA
gross,01,0100017,"130% 41 STD IND, 2.5%, 48-65, NB                   ",130%,Life Insurance,19082,19082,NA,NA,NA
gross,01,0100018,"41 Sub-Std Ind, 2.5%, 48-54          ",2.5%,Life Insurance,635,635,NA,NA,NA
gross,01,0100019,"41 Sub-Std Ind, 2.75%, 42-47            ",2.75%,Life Insurance,105239,105239,NA,NA,NA
gross,01,0100020,"41 Sub-Std Ind, 3.5%, 46-54          ",3.5%,Life Insurance,6114420,6114420,NA,NA,NA
gross,01,0100021,"41 Sub-Std Ind, 4%, 42-45         ",4%,Life Insurance,8900284,8900284,NA,NA,NA
gross,01,0100022,"41 CSO, 2.5%, 47-66       ",2.5%,Life Insurance,2366502630,NA,2366115137,NA,387493
gross,01,0100023,"41 CSO 2.5%, CRF, 47-66            ",2.5%,Life Insurance,46009885,NA,46009885,NA,NA
gross,01,0100024,"41 CSO, 2.5%, 48-65 (NJ STD)              ",2.5%,Life Insurance,45334,NA,45334,NA,NA
gross,01,0100025,"41 CSO, 2.5%, CRVM, 48-65              ",2.5%,Life Insurance,140380312,NA,140380312,NA,NA
gross,01,0100026,"130% 41 CSO, 2.5%, 48-65             ",130%,Life Insurance,2799,NA,2799,NA,NA
gross,01,0100027,"41 Special Class, 2.5%, 48-50           ",2.5%,Life Insurance,255878,NA,255878,NA,NA
gross,01,0100028,"41 Special Class, 2.75%, 42-47            ",2.75%,Life Insurance,210554,NA,210554,NA,NA
gross,01,0100029,"50 Special Class, 2.5%, 51-59           ",2.5%,Life Insurance,3692995,NA,3692995,NA,NA
gross,01,0100030,"58 CSO, 2.5%, 63-92       ",2.5%,Life Insurance,136200424,NA,136200424,NA,NA
gross,01,0100031,"58 CSO, 2.5 %, CRVM, 65-92              ",%,Life Insurance,2589413,NA,2589413,NA,NA
gross,01,0100032,"58 CSO, 2.75%    ",2.75%,Life Insurance,41077,NA,NA,NA,41077
gross,01,0100033,"58 CSO, 3% 61 and later, NB              ",3%,Life Insurance,10711671,NA,9091463,NA,1620208
gross,01,0100034,"58 CSO, 3%, CRVM, 61 and later, NB                    ",3%,Life Insurance,531040,NA,531040,NA,NA
gross,01,0100035,"58 CSO, 3%/20/2.5%, 65-73             ",3%,Life Insurance,1830545975,NA,1830545975,NA,NA
gross,01,0100036,"58 CSO, 3%/20/2.5%, CRVM/GCV, 65-73                        ",3%,Life Insurance,568761987,NA,568761987,NA,NA
gross,01,0100037,"58 CSO, 3.5%, 61-91       ",3.5%,Life Insurance,18057576,NA,1410497,NA,16647079
gross,01,0100038,"58 CSO, 3.5%, CRVM, 70-90              ",3.5%,Life Insurance,1741681,NA,1741681,NA,NA
gross,01,0100039,"58 CSO, 3.5%/20/2.75%, 74-86               ",3.5%,Life Insurance,1516227392,NA,1516227392,NA,NA
gross,01,0100040,"58 CSO, 3.5%/20/2.75%, CRVM/GCV, 74-86                           ",3.5%,Life Insurance,850290862,NA,850290862,NA,NA
gross,01,0100041,"58 CSO, 3.5%/20/3%, 65-79             ",3.5%,Life Insurance,1904578,NA,1904578,NA,NA
gross,01,0100042,"58 CSO, 3.5%/20/3%, CRVM, 65-79                   ",3.5%,Life Insurance,2946011,NA,2946011,NA,NA
gross,01,0100043,"58 CSO, 3.5%-2.5%, 73-83            ",3.5%,Life Insurance,121745079,NA,121745079,NA,NA
gross,01,0100044,"58 CSO, 4% ",4%,Life Insurance,72112821,NA,65709759,NA,6403062
gross,01,0100045,"58 CSO, 4%, CRVM, 77 and later                ",4%,Life Insurance,1033501490,NA,1033375681,NA,125809
gross,01,0100046,"58 CSO, 4%, CRVM/GCV, 79               ",4%,Life Insurance,77548355,NA,77548355,NA,NA
gross,01,0100047,"58 CSO, 4.5%, 57-92       ",4.5%,Life Insurance,1064871598,NA,1064871598,NA,NA
gross,01,0100048,"58 CSO, 4.5%, CRVM, 57-92              ",4.5%,Life Insurance,2834781850,NA,2834781850,NA,NA
gross,01,0100049,"58 CSO, 4.5% CRVM, UL, 82-88                 ",4.5%,Life Insurance,77903333,NA,77903333,NA,NA
gross,01,0100050,"58 CSO, 5.5%, 83-88       ",5.5%,Life Insurance,598293192,NA,598293192,NA,NA
gross,01,0100051,"58 CSO, 6%, 84-86      ",6%,Life Insurance,325607331,NA,325607331,NA,NA
gross,01,0100052,"58 CSO, 6%, CRVM/GCV, 84-86                  ",6%,Life Insurance,509610802,NA,509610802,NA,NA
gross,01,0100053,"58 CET, 2.5%, 63-92      ",2.5%,Life Insurance,83179,NA,83179,NA,NA
gross,01,0100054,"58 CET, 3%, 61-79     ",3%,Life Insurance,13042,NA,13042,NA,NA
gross,01,0100055,"58 CET, 3%/20/2.5%, 65-73            ",3%,Life Insurance,70975500,NA,70975500,NA,NA
gross,01,0100056,"58 CET, 3.5%/20/2.75%, 74 and later, NB                     ",3.5%,Life Insurance,85302110,NA,85302110,NA,NA
gross,01,0100057,"58 CET, 4%/20/3.5, 79-86          ",4%,Life Insurance,54093074,NA,54093074,NA,NA
gross,01,0100058,"58 CET, 4.5%/20/4%, 81-86            ",4.5%,Life Insurance,43243776,NA,43243776,NA,NA
gross,01,0100059,"60 CSG, 3% ",3%,Life Insurance,2964267,NA,NA,NA,2964267
gross,01,0100060,"60 CSG, 6%, CRVM, UL           ",6%,Life Insurance,1590892,NA,NA,NA,1590892
gross,01,0100061,"80 CSO, 2.5%, 87 and later, NB              ",2.5%,Life Insurance,170996,NA,170996,NA,NA
gross,01,0100062,"80 CSO, 4% ",4%,Life Insurance,1063027802,NA,1047435184,NA,15592618
gross,01,0100063,"80 CSO, 4%, CRVM, 84 and later                ",4%,Life Insurance,85988845,NA,39922084,NA,46066761
gross,01,0100064,"80 CSO, 4%, CRVM, UL, 84 and later                   ",4%,Life Insurance,5423469959,NA,3453053837,NA,1970416122
gross,01,0100065,"80 CSO, 4.5%, 95 & later, NB            ",4.5%,Life Insurance,2292528676,NA,2292514035,NA,14641
gross,01,0100066,"80 CSO, 4.5%, UL     ",4.5%,Life Insurance,46620904,NA,23398870,NA,23222034
gross,01,0100067,"80 CSO, 4.5% CRVM - 86 and later                 ",4.5%,Life Insurance,9163141997,NA,9000812105,NA,162329892
gross,01,0100068,"80 CSO, 4.5% CRVM, UL            ",4.5%,Life Insurance,245813531,NA,54026010,NA,191787521
gross,01,0100069,"80 CSO, 4.75 %, 99 and later, NB               ",%,Life Insurance,11853,NA,11853,NA,NA
gross,01,0100070,"80 CSO, 4.75 %, CRVM, 99 and later, NB                      ",%,Life Insurance,410887,NA,410887,NA,NA
gross,01,0100071,"80 CSO, 5%, 84 and later         ",5%,Life Insurance,1036024215,NA,1036024215,NA,NA
gross,01,0100072,"80 CSO, 5%, UL    ",5%,Life Insurance,1843711,NA,NA,NA,1843711
gross,01,0100073,"80 CSO, 5%, CRVM, 89 & later",5%,Life Insurance,3510471365,NA,3488574211,NA,21897154
gross,01,0100074,"80 CSO, 5%, CRVM, UL, 93 & later",5%,Life Insurance,46832833,NA,40935300,NA,5897533
gross,01,0100075,"80 CSO, 5.25%, 94 & later, NB",5.25%,Life Insurance,339721,NA,339721,NA,NA
gross,01,0100076,"80 CSO, 5.25%, CRVM, 94 & later, NB",5.25%,Life Insurance,469146,NA,469146,NA,NA
gross,01,0100077,"80 CSO, 5.5%",5.5%,Life Insurance,2892662963,NA,2891815538,NA,847425
gross,01,0100078,"80 CSO, 5.5%, UL",5.5%,Life Insurance,3796090,NA,NA,NA,3796090
gross,01,0100079,"80 CSO, 5.5%, CRVM, 86 & later, NB",5.5%,Life Insurance,9196763589,NA,9122074083,NA,74689506
gross,01,0100080,"80 CSO, 5.5%, CRVM, UL, 87-94",5.5%,Life Insurance,621316545,NA,169358177,NA,451958368
gross,01,0100081,"80 CSO, 5.5%/20/4%, CRVM, 87-92",5.5%,Life Insurance,13170263,NA,13170263,NA,NA
gross,01,0100082,"80 CSO, 6%",6%,Life Insurance,261236353,NA,260966833,NA,269520
gross,01,0100083,"80 CSO, 6%, UL, 1995",6%,Life Insurance,82654346,NA,81978147,NA,676199
gross,01,0100084,"80 CSO, 6%, CRVM, 84 and later, NB",6%,Life Insurance,397069214,NA,397069214,NA,NA
gross,01,0100085,"80 CET, 4%, 90 and later, NB",4%,Life Insurance,132935138,NA,132935138,NA,NA
gross,01,0100086,"80 CET, 4.5%, 65-73",4.5%,Life Insurance,70687175,NA,70687175,NA,NA
gross,01,0100087,"80 CET, 5%, NLP-ALB 93 & later, NB",5%,Life Insurance,225,NA,225,NA,NA
gross,01,0100088,"80 CET, 5.5%, 87-91, NB",5.5%,Life Insurance,46417845,NA,46417845,NA,NA
gross,01,0100089,"80 CET, 5.5 %/20/4%, 87 and later, NB",%,Life Insurance,184888751,NA,184888751,NA,NA
gross,01,0100090,"80 CET, 5.5%/20/4.5%, 84 and later, NB",5.5%,Life Insurance,27057438,NA,27057438,NA,NA
gross,01,0100091,"INT, 3%, 35-41",3%,Life Insurance,485121,NA,485121,NA,NA
gross,01,0100092,"INT, 3.5%, 34 and prior",3.5%,Life Insurance,163552,NA,163552,NA,NA
gross,01,0100093,"41 INT, 2.5%, 48-59",2.5%,Life Insurance,15230550,NA,15230550,NA,NA
gross,01,0100094,"41 INT, 2.75%, 42-47",2.75%,Life Insurance,3248663,NA,3248663,NA,NA
gross,01,0100095,"Gross Modal Unearned Premium Reserve, 1997 and later, NB",NA,Life Insurance,8460315,NA,85193,2948,8372174
gross,01,0100096,Funds for Retiree Life,NA,Life Insurance,759480313,NA,NA,NA,759480313
gross,01,0100097,"01 CSO, 4.50%, CRVM, UL",4.50%,Life Insurance,294868565,NA,294868565,NA,NA
gross,01,0100098,"01 CSO, 4.50%, CRVM",4.50%,Life Insurance,2547303,NA,2527462,NA,19841
gross,01,0100099,"01 CSO, 4.00%, CRVM, UL",4.00%,Life Insurance,2845598150,NA,2845598150,NA,NA
gross,01,0100100,Reserve Funds Under Universal Life Contracts,NA,Life Insurance,3171283,NA,3171283,NA,NA
gross,01,0100101,"01 CSO, 4.25%, CRVM",4.25%,Life Insurance,46747,NA,46747,NA,NA
gross,01,0100102,"58 CSO, 2.25%",2.25%,Life Insurance,172,NA,172,NA,NA
gross,01,0100103,"80 CSO, 4.5%/20/4%, CRVM",4.5%,Life Insurance,3721049,NA,3721049,NA,NA
gross,01,0100104,"80 CSO, 5%/20/4%, CRVM",5%,Life Insurance,3270890,NA,3270890,NA,NA
gross,01,0100105,"80 CSO, 3%, 84 and later (CRVM) UL",3%,Life Insurance,366376354,NA,366240249,NA,136105
gross,01,0100106,"80 CSO, 3.5%, 84 and later (CRVM) UL",3.5%,Life Insurance,234666,NA,61713,NA,172953
gross,01,0100107,"01 CSO, 4.00%, CRVM",4.00%,Life Insurance,2004380499,NA,1886759076,NA,117621423
gross,01,0100108,"01 CSO, 3.50%, CRVM NB",3.50%,Life Insurance,1373210985,NA,1150102458,NA,223108527
gross,01,0100109,"01 CSO, 3.75%",3.75%,Life Insurance,116835,NA,116835,NA,NA
gross,01,0100110,"2017 CSO, 3.5%",3.5%,Life Insurance,2970318,NA,41169,NA,2929149
gross,01,0100111,Reserves based on Separate Account asset values,NA,Life Insurance,756042,NA,NA,NA,756042
gross,02,0200001,"a-1949 Met*, 2.5%, imm & def, 60-73",2.5%,Annuities,908799,NA,908799,NA,NA
gross,02,0200002,"a-1949 Met*, 2.75%, imm & def, 60-73",2.75%,Annuities,21639271,NA,21639271,NA,NA
gross,02,0200003,"a-1949 Met*, 3.5%, imm & def, 66-74",3.5%,Annuities,432862,NA,432862,NA,NA
gross,02,0200004,"51 GAM, 3.5%, imm & def, 75 and prior",3.5%,Annuities,17091330,NA,NA,NA,17091330
gross,02,0200005,"51 GAM, 3.5%, imm",3.5%,Annuities,279477,NA,NA,NA,279477
gross,02,0200006,"51 GAM Proj to 71 Scale C, 2.75%, imm & def",2.75%,Annuities,52435,NA,NA,NA,52435
